"name","part_of_speech"
"agreeable","adjective"
"man","noun"
"old","adjective"
"person","noun"
"anything","noun"
"short","adjective"
"arm","noun"
"round","adjective"
"aunt","noun"
"first","adjective"
"bad","adjective"
"air","noun"
"boy","noun"
"beautiful","adjective"
"black","adjective"
"face","noun"
"letter","noun"
"little","adjective"
"young","adjective"
"best","adjective"
"course","noun"
"friend","noun"
"love","noun"
"part","noun"
"room","noun"
"thing","noun"
"time","noun"
"way","noun"
"better","adjective"
"heart","noun"
"mind","noun"
"place","noun"
"right","adjective"
"state","noun"
"woman","noun"
"word","noun"
"door","noun"
"eye","noun"
"bright","adjective"
"evening","noun"
"morning","noun"
"certain","adjective"
"day","noun"
"other","adjective"
"child","noun"
"happy","adjective"
"common","adjective"
"dark","adjective"
"kind","adjective"
"night","noun"
"dear","adjective"
"good","adjective"
"home","noun"
"mother","noun"
"pretty","adjective"
"open","adjective"
"early","adjective"
"fire","noun"
"full","adjective"
"great","adjective"
"master","noun"
"moment","noun"
"work","noun"
"general","adjective"
"fancy","adjective"
"voice","noun"
"head","noun"
"hope","noun"
"long","adjective"
"greater","adjective"
"hand","noun"
"hard","adjective"
"red","adjective"
"life","noun"
"glad","adjective"
"large","adjective"
"new","adjective"
"white","adjective"
"late","adjective"
"whole","adjective"
"light","adjective"
"manner","noun"
"bed","noun"
"house","noun"
"low","adjective"
"money","noun"
"ready","adjective"
"small","adjective"
"strange","adjective"
"thought","noun"
"lost","adjective"
"alone","adjective"
"nothing","noun"
"miserable","adjective"
"natural","adjective"
"half","noun"
"wrong","adjective"
"name","noun"
"pleasant","adjective"
"possible","adjective"
"side","noun"
"perfect","adjective"
"poor","adjective"
"quiet","adjective"
"same","adjective"
"strong","adjective"
"something","noun"
"true","adjective"
"usual","adjective"
"family","noun"
"world","noun"
"year","noun"
