"name","conference"
"BrighamYoung","Mountain West"
"FloridaState","Atlantic Coast"
"Iowa","Big Ten"
"KansasState","Big Twelve"
"NewMexico","Mountain West"
"TexasTech","Big Twelve"
"PennState","Big Ten"
"SouthernCalifornia","Pacific Ten"
"ArizonaState","Pacific Ten"
"SanDiegoState","Mountain West"
"Baylor","Big Twelve"
"NorthTexas","Sun Belt"
"NorthernIllinois","Mid-American"
"Northwestern","Big Ten"
"WesternMichigan","Mid-American"
"Wisconsin","Big Ten"
"Wyoming","Mountain West"
"Auburn","Southeastern"
"Akron","Mid-American"
"VirginiaTech","Big East"
"Alabama","Southeastern"
"UCLA","Pacific Ten"
"Arizona","Pacific Ten"
"Utah","Mountain West"
"ArkansasState","Sun Belt"
"NorthCarolinaState","Atlantic Coast"
"BallState","Mid-American"
"Florida","Southeastern"
"BoiseState","Western Athletic"
"BostonCollege","Big East"
"WestVirginia","Big East"
"BowlingGreenState","Mid-American"
"Michigan","Big Ten"
"Virginia","Atlantic Coast"
"Buffalo","Mid-American"
"Syracuse","Big East"
"CentralFlorida","Independents"
"GeorgiaTech","Atlantic Coast"
"CentralMichigan","Mid-American"
"Purdue","Big Ten"
"Colorado","Big Twelve"
"ColoradoState","Mountain West"
"Connecticut","Independents"
"EasternMichigan","Mid-American"
"EastCarolina","Conference USA"
"Duke","Atlantic Coast"
"FresnoState","Western Athletic"
"OhioState","Big Ten"
"Houston","Conference USA"
"Rice","Western Athletic"
"Idaho","Sun Belt"
"Washington","Pacific Ten"
"Kansas","Big Twelve"
"SouthernMethodist","Western Athletic"
"Kent","Mid-American"
"Pittsburgh","Big East"
"Kentucky","Southeastern"
"Louisville","Conference USA"
"LouisianaTech","Western Athletic"
"LouisianaMonroe","Sun Belt"
"Minnesota","Big Ten"
"MiamiOhio","Mid-American"
"Vanderbilt","Southeastern"
"MiddleTennesseeState","Sun Belt"
"Illinois","Big Ten"
"MississippiState","Southeastern"
"Memphis","Conference USA"
"Nevada","Western Athletic"
"Oregon","Pacific Ten"
"NewMexicoState","Sun Belt"
"SouthCarolina","Southeastern"
"Ohio","Mid-American"
"IowaState","Big Twelve"
"SanJoseState","Western Athletic"
"Nebraska","Big Twelve"
"SouthernMississippi","Conference USA"
"Tennessee","Southeastern"
"Stanford","Pacific Ten"
"WashingtonState","Pacific Ten"
"Temple","Big East"
"Navy","Independents"
"TexasA&M","Big Twelve"
"NotreDame","Independents"
"TexasElPaso","Western Athletic"
"Oklahoma","Big Twelve"
"Toledo","Mid-American"
"Tulane","Conference USA"
"Mississippi","Southeastern"
"Tulsa","Western Athletic"
"NorthCarolina","Atlantic Coast"
"UtahState","Independents"
"Army","Conference USA"
"Cincinnati","Conference USA"
"AirForce","Mountain West"
"Rutgers","Big East"
"Georgia","Southeastern"
"LouisianaState","Southeastern"
"LouisianaLafayette","Sun Belt"
"Texas","Big Twelve"
"Marshall","Mid-American"
"MichiganState","Big Ten"
"MiamiFlorida","Big East"
"Missouri","Big Twelve"
"Clemson","Atlantic Coast"
"NevadaLasVegas","Mountain West"
"WakeForest","Atlantic Coast"
"Indiana","Big Ten"
"OklahomaState","Big Twelve"
"OregonState","Pacific Ten"
"Maryland","Atlantic Coast"
"TexasChristian","Conference USA"
"California","Pacific Ten"
"AlabamaBirmingham","Conference USA"
"Arkansas","Southeastern"
"Hawaii","Western Athletic"
